,datetime,open,high,low,close,volume
69,2020-11-20 03:56:00,29251.92,29254.52,29249.92,29253.92,23
70,2020-11-20 03:57:00,29253.92,29255.52,29249.92,29251.52,38
71,2020-11-20 03:58:00,29251.52,29261.52,29250.92,29257.92,52
72,2020-11-20 03:59:00,29257.92,29265.52,29257.92,29260.92,74
73,2020-11-20 04:00:00,29260.92,29261.52,29251.92,29253.92,53
74,2020-11-20 04:01:00,29253.92,29254.92,29250.92,29252.52,25
75,2020-11-20 04:02:00,29252.52,29253.52,29250.92,29250.92,25
76,2020-11-20 04:03:00,29250.92,29257.52,29247.92,29256.92,48
77,2020-11-20 04:04:00,29256.92,29260.52,29256.92,29258.92,33
78,2020-11-20 04:05:00,29258.92,29260.52,29256.92,29260.52,33
79,2020-11-20 04:06:00,29260.52,29260.52,29256.92,29257.92,18
80,2020-11-20 04:07:00,29257.92,29258.52,29255.92,29256.92,18
81,2020-11-20 04:08:00,29256.92,29259.92,29256.52,29259.92,20
82,2020-11-20 04:09:00,29259.92,29262.52,29258.92,29259.92,29
83,2020-11-20 04:10:00,29259.92,29261.52,29255.92,29255.92,25
84,2020-11-20 04:11:00,29255.92,29259.52,29255.92,29258.92,20
85,2020-11-20 04:12:00,29258.92,29268.92,29258.92,29264.92,56
86,2020-11-20 04:13:00,29264.92,29272.92,29264.92,29270.52,53
87,2020-11-20 04:14:00,29270.52,29275.92,29267.92,29272.92,78
88,2020-11-20 04:15:00,29272.92,29276.92,29269.92,29273.52,66
89,2020-11-20 04:16:00,29273.52,29277.52,29271.52,29276.92,45
90,2020-11-20 04:17:00,29276.92,29282.92,29274.92,29280.52,63
91,2020-11-20 04:18:00,29280.52,29283.52,29276.52,29276.92,67
92,2020-11-20 04:19:00,29276.92,29288.52,29276.92,29287.92,68
93,2020-11-20 04:20:00,29287.92,29287.92,29279.92,29279.92,62
94,2020-11-20 04:21:00,29279.92,29282.92,29279.92,29280.92,44
95,2020-11-20 04:22:00,29280.92,29284.92,29280.92,29281.92,35
96,2020-11-20 04:23:00,29281.92,29286.92,29281.02,29286.92,47
97,2020-11-20 04:24:00,29286.92,29286.92,29282.52,29282.52,33
98,2020-11-20 04:25:00,29282.52,29286.52,29280.92,29280.92,53
99,2020-11-20 04:26:00,29280.92,29282.92,29279.52,29279.52,47
100,2020-11-20 04:27:00,29279.52,29282.92,29278.92,29281.52,36
101,2020-11-20 04:28:00,29281.52,29284.52,29280.92,29280.92,26
102,2020-11-20 04:29:00,29280.92,29282.52,29280.92,29281.92,25
103,2020-11-20 04:30:00,29281.92,29297.52,29281.52,29296.52,66
104,2020-11-20 04:31:00,29296.52,29316.92,29296.52,29309.92,175
105,2020-11-20 04:32:00,29309.92,29311.52,29306.92,29308.92,59
106,2020-11-20 04:33:00,29308.92,29308.92,29302.92,29305.92,84
107,2020-11-20 04:34:00,29305.92,29306.92,29302.92,29303.92,36
108,2020-11-20 04:35:00,29303.92,29305.92,29302.92,29304.92,47
109,2020-11-20 04:36:00,29304.92,29315.52,29304.92,29313.92,73
110,2020-11-20 04:37:00,29313.92,29318.52,29313.52,29315.52,96
111,2020-11-20 04:38:00,29315.52,29316.92,29313.52,29315.52,38
112,2020-11-20 04:39:00,29315.52,29320.52,29315.52,29318.52,75
113,2020-11-20 04:40:00,29318.52,29321.92,29315.52,29318.92,59
114,2020-11-20 04:41:00,29318.92,29328.92,29317.92,29327.92,98
115,2020-11-20 04:42:00,29327.92,29334.92,29326.92,29331.52,107
116,2020-11-20 04:43:00,29331.52,29334.52,29329.92,29331.92,81
117,2020-11-20 04:44:00,29331.92,29334.92,29326.92,29326.92,114
118,2020-11-20 04:45:00,29326.92,29327.92,29318.92,29321.52,81
119,2020-11-20 04:46:00,29321.52,29334.92,29319.92,29332.52,99
120,2020-11-20 04:47:00,29332.52,29332.52,29324.92,29328.52,56
121,2020-11-20 04:48:00,29328.52,29328.52,29317.52,29318.92,60
122,2020-11-20 04:49:00,29318.92,29320.92,29314.92,29317.52,66
123,2020-11-20 04:50:00,29317.52,29319.52,29314.52,29317.92,36
124,2020-11-20 04:51:00,29317.92,29318.92,29315.92,29317.52,30
